model.name,model.stage,model.dec_steps,model.seq_len_inference_prefill,hardware.name,hardware.num_chips,batch_size,boundness,op_intensity,time_ms
openvla-7b-llm,decode,7,256,B100,4,512,Mem,84.87437590347763,3.54232344214331
openvla-7b-llm,decode,7,256,B100,4,1024,Mem,85.34585473962773,6.077835035328286
openvla-7b-llm,decode,7,256,H100,1,1,Mem,1.0481540420096735,3.7123057110788023
openvla-7b-llm,decode,7,256,H100,1,2,Mem,2.082108875189666,3.750987354993425
openvla-7b-llm,decode,7,256,H100,1,4,Mem,4.10855961839434,3.82835064282267
openvla-7b-llm,decode,7,256,H100,1,8,Mem,8.00318127933931,3.983077218481162
openvla-7b-llm,decode,7,256,H100,1,16,Mem,15.214142678409662,4.292530369798145
openvla-7b-llm,decode,7,256,H100,1,32,Mem,27.6875470840874,4.911436672432111
openvla-7b-llm,decode,7,256,H100,1,64,Mem,46.92231520763251,6.149249277700041
openvla-7b-llm,decode,7,256,H100,1,128,Mem,71.89552246990678,8.624874488235905
openvla-7b-llm,decode,7,256,H100,1,256,Mem,97.9652869915727,13.576124909307628
openvla-7b-llm,decode,7,256,H100,1,512,Mem,119.66002182707668,26.52407787694496
openvla-7b-llm,decode,7,256,H100,2,1,Mem,1.0480901083346503,2.3113324178186416
openvla-7b-llm,decode,7,256,H100,2,2,Mem,2.0818566083408334,2.331852802055194
openvla-7b-llm,decode,7,256,H100,2,4,Mem,4.107577460551627,2.3728935705282996
openvla-7b-llm,decode,7,256,H100,2,8,Mem,7.999455398090372,2.454975107474509
openvla-7b-llm,decode,7,256,H100,2,16,Mem,15.20068356239927,2.619138181366929
openvla-7b-llm,decode,7,256,H100,2,32,Mem,27.64300447424225,2.9474643291517673
openvla-7b-llm,decode,7,256,H100,2,64,Mem,46.79453003732671,3.6041166247214447
openvla-7b-llm,decode,7,256,H100,2,128,Mem,71.59595389231632,4.9174212158608
openvla-7b-llm,decode,7,256,H100,2,256,Mem,97.40991838319133,7.544030398139511
openvla-7b-llm,decode,7,256,H100,2,512,Mem,85.34585473962773,13.581465187085408
openvla-7b-llm,decode,7,256,H100,2,1024,Mem,101.32487208262152,26.53375843250052
openvla-7b-llm,decode,7,256,H100,4,1,Mem,1.0479622643801125,1.641845771188562
openvla-7b-llm,decode,7,256,H100,4,2,Mem,2.0813522579855865,1.6532855255860788
openvla-7b-llm,decode,7,256,H100,4,4,Mem,4.105614552911565,1.6761650343811136
openvla-7b-llm,decode,7,256,H100,4,8,Mem,7.992014033415747,1.7219240519711825
openvla-7b-llm,decode,7,256,H100,4,16,Mem,15.173836643447114,1.8134420871513204
openvla-7b-llm,decode,7,256,H100,4,32,Mem,27.55434782574881,1.9964781575115957
openvla-7b-llm,decode,7,256,H100,4,64,Mem,46.54103639636712,2.3625502982321462
openvla-7b-llm,decode,7,256,H100,4,128,Mem,71.00424415315281,3.0946945796732486
openvla-7b-llm,decode,7,256,H100,4,256,Mem,96.31785981004433,4.5589831425554515
openvla-7b-llm,decode,7,256,H100,4,512,Mem,84.87437590347763,7.54937067591729
openvla-7b-llm,decode,7,256,H100,4,1024,Mem,85.34585473962773,13.592145742640962
openvla-7b-llm,decode,7,256,Jetson_AGX_Thor,1,1,Mem,1.0481540420096735,46.05634943644206
openvla-7b-llm,decode,7,256,Jetson_AGX_Thor,1,2,Mem,2.082108875189666,46.53254840992115
openvla-7b-llm,decode,7,256,Jetson_AGX_Thor,1,4,Mem,4.10855961839434,47.48494635687934
openvla-7b-llm,decode,7,256,Jetson_AGX_Thor,1,8,Mem,8.00318127933931,49.38974225079573
openvla-7b-llm,decode,7,256,Jetson_AGX_Thor,1,16,Mem,15.214142678409662,53.19933403862848
openvla-7b-llm,decode,7,256,Jetson_AGX_Thor,1,32,Mem,27.6875470840874,60.81851761429398
openvla-7b-llm,decode,7,256,Jetson_AGX_Thor,1,64,Mem,46.92231520763251,76.056884765625
openvla-7b-llm,decode,7,256,Jetson_AGX_Thor,1,128,Mem,71.89552246990678,106.53361906828702
openvla-7b-llm,decode,7,256,Jetson_AGX_Thor,1,256,Mem,97.9652869915727,167.48708767361114
openvla-7b-llm,decode,7,256,Jetson_AGX_Thor,1,512,Mem,119.66002182707668,289.39402488425924
