model,system,category,network,precision,vision_ms,vlm_ms,action_ms,network_image_ms,network_action_ms,e2e_compute_ms,e2e_total_ms,frequency_hz,freq_async_hz,denoising_steps
pi0,Jetson_AGX_Thor,Edge (Local),N/A (Local),bf16,6.062347412109375,20.303090413411457,26.199926932652797,0.0,0.0,52.56536475817363,52.56536475817363,19.023933432222695,19.023933432222695,10
pi0,A100_80GB,Data Center (Remote),4G LTE,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,44.817728,25.003584,16.198417242548786,86.01972924254879,11.62524003278727,50.450747155385066,10
pi0,A100_80GB,Data Center (Remote),5G NR SA (sub-6GHz),bf16,2.1285967983039953,10.465595076923076,3.604225367321714,14.64478,10.0005376,16.198417242548786,40.843734842548784,24.48355920081663,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),WiFi 5 (802.11ac),bf16,2.1285967983039953,10.465595076923076,3.604225367321714,5.061664,4.0005376,16.198417242548786,25.260618842548787,39.58731202244372,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),WiFi 6 (802.11ax),bf16,2.1285967983039953,10.465595076923076,3.604225367321714,4.16354,3.500336,16.198417242548786,23.862293242548787,41.907120570327365,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),WiFi 6E (802.11ax 6GHz),bf16,2.1285967983039953,10.465595076923076,3.604225367321714,3.353888,3.0001792,16.198417242548786,22.55248444254879,44.34101274063374,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),WiFi 7 (802.11be),bf16,2.1285967983039953,10.465595076923076,3.604225367321714,2.676944,2.5000896,16.198417242548786,21.375450842548783,46.78263898927716,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),DC 1GbE,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,0.47158240000000007,0.1002688,16.198417242548786,16.770268442548783,59.62933768328026,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),DC 10GbE,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,0.08715824,0.05002688,16.198417242548786,16.335602362548787,61.21598566163761,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),DC 25GbE,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,0.064863296,0.050010752000000006,16.198417242548786,16.313291290548783,61.29970845180438,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),DC 100GbE,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,0.033715824,0.030002688,16.198417242548786,16.262135754548787,61.49253794786971,61.73442658170794,10
pi0,A100_80GB,Data Center (Remote),DC 400GbE,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,0.020928956000000002,0.020000672,16.198417242548786,16.239346870548783,61.578831216024554,61.73442658170794,10
