model,category,system,network,precision,vision_ms,vlm_ms,action_ms,network_image_ms,network_action_ms,e2e_compute_ms,e2e_total_ms,frequency_hz,freq_async_hz,denoising_steps
pi0,On-device,Jetson_AGX_Thor,N/A (Local),bf16,6.062347412109375,20.303090413411457,26.199926932652797,0.0,0.0,52.56536475817363,52.56536475817363,19.023933432222695,19.023933432222695,10
pi0,On-device,RTX_4090,N/A (Local),bf16,4.0208364321413965,19.78948887272727,7.254440338499391,0.0,0.0,31.064765643368055,31.064765643368055,32.19081101336065,32.19081101336065,10
pi0,On-device,B100,N/A (Local),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.0,0.0,3.180369240988973,3.180369240988973,314.42889935919465,314.42889935919465,10
pi0,Edge-server,RTX_4090,Ethernet 1GbE,bf16,4.0208364321413965,19.78948887272727,7.254440338499391,0.47158240000000007,0.1002688,31.064765643368055,31.636616843368053,31.608942414764833,32.19081101336065,10
pi0,Edge-server,RTX_4090,Ethernet 10GbE,bf16,4.0208364321413965,19.78948887272727,7.254440338499391,0.08715824,0.05002688,31.064765643368055,31.201950763368057,32.04927818724806,32.19081101336065,10
pi0,Edge-server,RTX_4090,WiFi 6 (802.11ax),bf16,4.0208364321413965,19.78948887272727,7.254440338499391,4.16354,3.500336,31.064765643368055,38.72864164336805,25.820683544971207,32.19081101336065,10
pi0,Edge-server,RTX_4090,WiFi 7 (802.11be),bf16,4.0208364321413965,19.78948887272727,7.254440338499391,2.676944,2.5000896,31.064765643368055,36.24179924336806,27.592449074751485,32.19081101336065,10
pi0,Edge-server,RTX_4090,5G NR SA (sub-6GHz),bf16,4.0208364321413965,19.78948887272727,7.254440338499391,14.64478,10.0005376,31.064765643368055,55.71008324336806,17.950071904066736,32.19081101336065,10
pi0,Edge-server,RTX_4090,4G LTE,bf16,4.0208364321413965,19.78948887272727,7.254440338499391,44.817728,25.003584,31.064765643368055,100.88607764336807,9.91217047346212,32.19081101336065,10
pi0,Edge-server,B100,Ethernet 1GbE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.47158240000000007,0.1002688,3.180369240988973,3.752220440988973,266.50886207965704,314.42889935919465,10
pi0,Edge-server,B100,Ethernet 10GbE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,0.08715824,0.05002688,3.180369240988973,3.317554360988973,301.42686183502263,314.42889935919465,10
pi0,Edge-server,B100,WiFi 6 (802.11ax),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,4.16354,3.500336,3.180369240988973,10.844245240988972,92.21480866369656,314.42889935919465,10
pi0,Edge-server,B100,WiFi 7 (802.11be),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,2.676944,2.5000896,3.180369240988973,8.357402840988973,119.65439730815525,314.42889935919465,10
pi0,Edge-server,B100,5G NR SA (sub-6GHz),bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,14.64478,10.0005376,3.180369240988973,27.825686840988972,35.938016758204064,215.27053392431122,10
pi0,Edge-server,B100,4G LTE,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,44.817728,25.003584,3.180369240988973,73.00168124098897,13.698314655231805,50.450747155385066,10
pi0,Cloud,B100,Wired + Fast Cloud,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,10.124316480000001,10.05005376,3.180369240988973,23.354739480988975,42.81786148006538,314.42889935919465,10
pi0,Cloud,B100,4G + Slow Cloud,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,145.1893104,125.0038528,3.180369240988973,273.373532440989,3.657998603854827,50.450747155385066,10
