model.name,model.stage,model.seq_len_inference_prefill,hardware.name,hardware.num_chips,batch_size,vision_time_ms,vlm_time_ms,action_time_ms,e2e_time_ms,vision_boundness,vlm_boundness,action_boundness,vision_op_intensity,vlm_op_intensity,action_op_intensity
pi-0,e2e,256,B100,1,4,1.6025114325645,7.463464374857143,1.1506183440342492,10.216594151455892,Comp,Comp,Mem,321.37342499720927,542.7692132772324,157.6092071846049
pi-0,e2e,256,H100,1,8,5.673063752272671,26.412664622851366,3.4489426620581076,35.53467103718214,Comp,Comp,Comp,321.37342499720927,542.7692132772324,231.73432013246799
pi-0,e2e,256,H100,1,2,1.4182659380681677,6.603166155712842,2.290008795460343,10.311440889241352,Comp,Comp,Mem,321.37342499720927,542.7692132772324,96.11828390208201
pi-0,e2e,256,H100,1,4,2.8365318761363354,13.206332311425683,2.586081023756507,18.628945211318523,Comp,Comp,Mem,321.37342499720927,542.7692132772324,157.6092071846049
pi-0,e2e,256,Jetson_AGX_Thor,1,128,418.66387939453125,1118.1751755193334,243.60686190789062,1780.4459168217552,Mem,Mem,Mem,516.8297057059909,1205.5901840083075,414.4886707914479
pi-0,e2e,256,Jetson_AGX_Thor,1,256,837.3277587890625,2236.3503510386668,471.5887238157813,3545.2668336435104,Mem,Mem,Mem,516.8297057059909,1205.5901840083075,425.6788802380055
pi-0,e2e,256,Jetson_AGX_Thor,1,512,1674.655517578125,4472.7007020773335,927.5524476315625,7074.908667287021,Mem,Mem,Mem,516.8297057059909,1205.5901840083075,431.5036672023047
pi-0,e2e,256,RTX_4090,1,2,8.041672864282793,39.57897774545454,7.882206569855926,55.502857179593256,Comp,Comp,Mem,321.37342499720927,542.7692132772324,96.11828390208201
pi-0,e2e,256,RTX_4090,1,4,16.083345728565586,79.15795549090907,10.212891927272727,105.45419314674739,Comp,Comp,Comp,321.37342499720927,542.7692132772324,157.6092071846049
pi-0-L,e2e,256,A100_80GB,1,1,5.773658676953761,34.28574654358974,24.49883926688446,64.55824448742796,Comp,Comp,Mem,394.6534518675496,561.1032506281308,48.877986055079795
pi-0-L,e2e,256,B100,1,1,1.063965124812381,6.154209131469841,6.374419530232746,13.592593786514968,Comp,Comp,Mem,394.6534518675496,561.1032506281308,48.877986055079795
pi-0-L,e2e,256,H100,1,1,1.8897943465477467,10.8456966313305,14.979805637947958,27.715296615826205,Comp,Comp,Mem,394.6534518675496,561.1032506281308,48.877986055079795
pi-0-L,e2e,256,Jetson_AGX_Thor,1,1,14.348958333333332,59.324363425925924,183.86607699924045,257.5393987584997,Mem,Mem,Mem,394.6534518675496,561.1032506281308,48.877986055079795
pi-0-L,e2e,256,Jetson_AGX_Thor,1,2,20.885416666666668,73.97280092592592,200.7761354799624,295.634353072555,Mem,Mem,Mem,518.1971411478261,829.9765621755828,85.27770007587615
pi-0-L,e2e,256,Jetson_AGX_Thor,1,4,33.958333333333336,116.63350096103704,234.59625244140628,385.18808673577666,Mem,Comp,Mem,614.3574353814432,1091.490528197541,135.86885396586968
pi-0-L,e2e,256,Jetson_AGX_Thor,1,8,60.104166666666664,233.2670019220741,302.2364863642939,595.6076549530346,Mem,Comp,Mem,677.1894458181818,1091.490528197541,193.16727673798465
pi-0-L,e2e,256,Jetson_AGX_Thor,1,16,112.39583333333333,466.5340038441482,437.51695421006934,1016.4467913875509,Mem,Comp,Mem,713.6846854131736,1091.490528197541,244.7817944791357
pi-0-L,e2e,256,Jetson_AGX_Thor,1,32,216.97916666666666,933.0680076882963,726.9274975764353,1876.9746719313985,Mem,Comp,Mem,733.448261316923,1091.490528197541,282.5276504931559
pi-0-L,e2e,256,Jetson_AGX_Thor,1,64,426.14583333333337,1866.1360153765927,1416.5286062639816,3708.810454973908,Mem,Comp,Mem,743.7462868268329,1091.490528197541,306.13063735690946
pi-0-L,e2e,256,RTX_4090,1,1,10.917006441913419,64.83122982787879,49.37785012381418,125.12608639360639,Comp,Comp,Mem,394.6534518675496,561.1032506281308,48.877986055079795
pi-0-L,e2e,256,A100_80GB,1,2,11.547317353907522,68.57149308717948,26.88972120174341,107.0085316428304,Comp,Comp,Mem,394.6534518675496,561.1032506281308,85.27770007587615
pi-0-L,e2e,256,A100_80GB,1,4,23.094634707815043,137.14298617435895,39.63789089847308,199.87551178064706,Comp,Comp,Comp,394.6534518675496,561.1032506281308,135.86885396586968
pi-0-L,e2e,256,B100,1,8,8.511720998499047,49.23367305175873,16.15133402126885,73.89672807152662,Comp,Comp,Comp,394.6534518675496,561.1032506281308,193.16727673798465
pi-0-L,e2e,256,B100,1,2,2.127930249624762,12.308418262939682,7.114073435465494,21.550421948029935,Comp,Comp,Mem,394.6534518675496,561.1032506281308,85.27770007587615
pi-0-L,e2e,256,B100,1,4,4.255860499249524,24.616836525879364,8.593381245930988,37.46607827105987,Comp,Comp,Mem,394.6534518675496,561.1032506281308,135.86885396586968
pi-0-L,e2e,256,H100,1,8,15.118354772381974,86.765573050644,30.42519438352153,132.3091222065475,Comp,Comp,Mem,394.6534518675496,561.1032506281308,193.16727673798465
pi-0-L,e2e,256,H100,1,2,3.7795886930954934,21.691393262661,16.503454559477998,41.97443651523449,Comp,Comp,Mem,394.6534518675496,561.1032506281308,85.27770007587615
pi-0-L,e2e,256,H100,1,4,7.559177386190987,43.382786525322,19.55075240253809,70.49271631405108,Comp,Comp,Mem,394.6534518675496,561.1032506281308,135.86885396586968
pi-0-L,e2e,256,Jetson_AGX_Thor,1,128,852.2916666666667,3732.2720307531854,2795.7308236390745,7380.294521058927,Mem,Comp,Mem,743.7462868268329,1091.490528197541,319.4754827360209
pi-0-L,e2e,256,RTX_4090,1,2,21.834012883826837,129.66245965575757,54.03533814445374,205.53181068403813,Comp,Comp,Mem,394.6534518675496,561.1032506281308,85.27770007587615
