system,timesteps,total_tokens,weights_mb,vlm_kv_cache_mb,total_memory_mb,vision_ms,vlm_ms,action_ms,e2e_ms,fps
Jetson_AGX_Thor,1,800,5248.0546875,14.0625,5262.1171875,6.062347412109375,20.303090413411457,26.199926932652797,52.56536475817363,19.023933432222695
Jetson_AGX_Thor,10,7712,5248.0546875,135.5625,5383.6171875,6.062347412109375,21.603471525656666,30.697455008824672,58.36327394659071,17.13406278261768
Jetson_AGX_Thor,100,76832,5248.0546875,1350.5625,6598.6171875,6.062347412109375,41.17241626805666,75.67273577054343,122.90749945070945,8.136200024157498
Jetson_AGX_Thor,1000,768032,5248.0546875,13500.5625,18748.6171875,6.062347412109375,236.86186369205666,525.4255433877308,768.3497544918969,1.3014906221468001
RTX_4090,1,800,5248.0546875,14.0625,5262.1171875,4.0208364321413965,19.78948887272727,7.254440338499391,31.064765643368055,32.19081101336065
RTX_4090,10,7712,5248.0546875,135.5625,5383.6171875,4.0208364321413965,24.620411959854547,10.342973283953938,38.98422167594988,25.6514034911955
RTX_4090,100,76832,5248.0546875,1350.5625,6598.6171875,4.0208364321413965,72.06027800203636,41.22830273849939,117.30941717267714,8.524464822189167
RTX_4090,1000,768032,5248.0546875,13500.5625,18748.6171875,4.0208364321413965,546.4589384238543,350.0815972839539,900.5613721399496,1.110418491106009
A100_80GB,1,800,5248.0546875,14.0625,5262.1171875,2.1285967983039953,10.465595076923076,3.604225367321714,16.198417242548786,61.73442658170794
A100_80GB,10,7712,5248.0546875,135.5625,5383.6171875,2.1285967983039953,13.020410171076923,5.237584136552483,20.3865911059334,49.0518495614971
A100_80GB,100,76832,5248.0546875,1350.5625,6598.6171875,2.1285967983039953,38.10880086646154,21.57117182886018,61.80856949362572,16.178986315208757
A100_80GB,1000,768032,5248.0546875,13500.5625,18748.6171875,2.1285967983039953,288.99270782030766,184.90704875193714,476.02835337054876,2.1007152051331333
H100,1,800,5248.0546875,14.0625,5262.1171875,0.7091329690340838,3.301583077856421,2.1419726813122613,6.152688728202765,162.53056902036803
H100,10,7712,5248.0546875,135.5625,5383.6171875,0.7091329690340838,4.107551034758342,2.6572486530008357,7.473932656793261,133.79836906759826
H100,100,76832,5248.0546875,1350.5625,6598.6171875,0.7091329690340838,12.02218995989484,7.810008369886581,20.541331298815503,48.6823363808783
H100,1000,768032,5248.0546875,13500.5625,18748.6171875,0.7091329690340838,91.16857921125985,59.337605538744,151.21531771903796,6.613086657384977
B100,1,800,5248.0546875,14.0625,5262.1171875,0.400627858141125,1.8658660937142857,0.9138752891335624,3.180369240988973,314.42889935919465
B100,10,7712,5248.0546875,135.5625,5383.6171875,0.400627858141125,2.3213531276434285,1.2050798239907055,3.927060809775259,254.64337030656495
B100,100,76832,5248.0546875,1350.5625,6598.6171875,0.400627858141125,6.794254783049143,4.117125172562134,11.312007813752402,88.4016362492488
B100,1000,768032,5248.0546875,13500.5625,18748.6171875,0.400627858141125,51.52327133710628,33.23757865827642,85.16147785352382,11.74239838486577
B100,10000,7680032,5248.0546875,135000.5625,140248.6171875,0.400627858141125,498.81343687767776,324.44211351541924,823.6561782512381,1.2140988271625301
