network,network_bandwidth_mbps_upload,network_bandwidth_mbps_download,image_config,image_size_bytes,return_data_type,return_data_config,return_size_bytes,upload_latency_ms,download_latency_ms,round_trip_latency_ms,round_trip_transfer_ms,max_frequency_sync_hz,max_frequency_async_hz
DC 10GbE,10000.0,10000.0,224x224 uint8 (comp 0.1x),15052,action,8DoF,32,0.06264368000000001,0.05002688,0.11267056,0.01267056,8875.43294361899,78923.10994936293
DC 10GbE,10000.0,10000.0,224x224 uint8 (comp 0.1x),15052,action,40DoF x10,1600,0.06264368000000001,0.051344,0.11398768000000001,0.01398768,8772.877911016349,71491.48393443372
DC 10GbE,10000.0,10000.0,512x512 uint8 (comp 0.1x),78643,action,8DoF,32,0.11606012000000002,0.05002688,0.166087,0.06608700000000002,6020.940832214442,15131.568992388817
DC 10GbE,10000.0,10000.0,512x512 uint8 (comp 0.1x),78643,action,40DoF x10,1600,0.11606012000000002,0.051344,0.16740412000000002,0.06740412000000001,5973.568631405248,14835.888370028417
DC 25GbE,25000.0,25000.0,224x224 uint8 (comp 0.1x),15052,action,8DoF,32,0.055057472,0.050010752000000006,0.10506822400000002,0.0050682240000000005,9517.625424029247,197307.77487340732
DC 25GbE,25000.0,25000.0,224x224 uint8 (comp 0.1x),15052,action,40DoF x10,1600,0.055057472,0.0505376,0.10559507200000001,0.005595072,9470.138909512745,178728.7098360843
DC 25GbE,25000.0,25000.0,512x512 uint8 (comp 0.1x),78643,action,8DoF,32,0.07642404800000001,0.050010752000000006,0.1264348,0.0264348,7909.214868058477,37828.92248097205
DC 25GbE,25000.0,25000.0,512x512 uint8 (comp 0.1x),78643,action,40DoF x10,1600,0.07642404800000001,0.0505376,0.126961648,0.026961648,7876.3942950709015,37089.720925071044
DC 100GbE,100000.0,100000.0,224x224 uint8 (comp 0.1x),15052,action,8DoF,32,0.031264368,0.030002688,0.061267056,0.0012670560000000001,16321.985505554567,789231.0994936293
DC 100GbE,100000.0,100000.0,224x224 uint8 (comp 0.1x),15052,action,40DoF x10,1600,0.031264368,0.0301344,0.061398768,0.001398768,16286.971751615603,714914.8393443372
DC 100GbE,100000.0,100000.0,512x512 uint8 (comp 0.1x),78643,action,8DoF,32,0.036606012,0.030002688,0.06660869999999999,0.0066087,15013.053850322858,151315.6899238882
DC 100GbE,100000.0,100000.0,512x512 uint8 (comp 0.1x),78643,action,40DoF x10,1600,0.036606012,0.0301344,0.066740412,0.006740412,14983.425634231926,148358.88370028418
DC 400GbE,400000.0,400000.0,224x224 uint8 (comp 0.1x),15052,action,8DoF,32,0.020316092,0.020000672,0.040316764000000005,0.00031676400000000003,24803.577985574433,3156924.397974517
DC 400GbE,400000.0,400000.0,224x224 uint8 (comp 0.1x),15052,action,40DoF x10,1600,0.020316092,0.020033600000000002,0.040349692000000006,0.000349692,24783.33663612599,2859659.357377349
DC 400GbE,400000.0,400000.0,512x512 uint8 (comp 0.1x),78643,action,8DoF,32,0.021651503,0.020000672,0.041652175,0.001652175,24008.350104166228,605262.7596955528
DC 400GbE,400000.0,400000.0,512x512 uint8 (comp 0.1x),78643,action,40DoF x10,1600,0.021651503,0.020033600000000002,0.041685103,0.001685103,23989.38536867715,593435.5348011367
