model,system,category,precision,vision_ms,vlm_ms,action_ms,e2e_ms,frequency_hz,denoising_steps
pi0,A100_80GB,Data Center,bf16,2.1285967983039953,10.465595076923076,3.604225367321714,16.198417242548786,61.73442658170794,10
pi0,H100,Data Center,bf16,0.7091329690340838,3.301583077856421,2.1419726813122613,6.152688728202765,162.53056902036803,10
pi0,B100,Data Center,bf16,0.400627858141125,1.8658660937142857,0.9138752891335624,3.180369240988973,314.42889935919465,10
pi0,Jetson_AGX_Thor,Edge (Jetson),bf16,6.062347412109375,20.303090413411457,26.199926932652797,52.56536475817363,19.023933432222695,10
pi0,Jetson_AGX_Orin_64GB,Edge (Jetson),bf16,10.310557617526687,48.73530841791045,34.734020032153914,93.77988606759106,10.663267379950307,10
pi0,Jetson_AGX_Orin_32GB,Edge (Jetson),bf16,13.514698499905194,65.30531328000001,35.05204080827332,113.87205258817852,8.781786024500043,10
pi0,Jetson_Orin_NX_16GB,Edge (Jetson),bf16,27.011818874810388,130.61062656000001,70.09454487338257,227.71699030819298,4.391415847568495,10
pi0,Jetson_Orin_NX_8GB,Edge (Jetson),bf16,38.71515110593235,186.58660937142855,105.35551437791328,330.6572748552742,3.0242794459540967,10
pi0,Jetson_Orin_Nano_8GB,Edge (Jetson),bf16,65.77533250753234,326.5265664,108.04132009219899,500.3432189997313,1.9986280657488775,10
pi0,Jetson_Orin_Nano_4GB,Edge (Jetson),bf16,131.53308689006468,653.0531328,216.0731034412339,1000.6593231312985,0.9993411112892694,10
pi0,Jetson_AGX_Xavier,Edge (Jetson),bf16,59.624128512,296.8423330909091,56.40276944717879,412.86923105008793,2.422074411930889,10
pi0,Jetson_Xavier_NX,Edge (Jetson),bf16,100.902371328,502.3485636923077,144.80740284975494,748.0583378700626,1.336794136734426,10
