model.name,model.stage,model.dec_steps,model.seq_len_inference_prefill,hardware.name,hardware.num_chips,batch_size,time_ms
siglip2-so400m-patch14-384-vision,prefill,1,256,B100,4,1,0.14025061798095703
siglip2-so400m-patch14-384-vision,prefill,1,256,B100,4,2,0.14025061798095703
siglip2-so400m-patch14-384-vision,prefill,1,256,B100,4,4,0.14025061798095703
siglip2-so400m-patch14-384-vision,prefill,1,256,B100,4,8,0.27149734813575005
siglip2-so400m-patch14-384-vision,prefill,1,256,H100,1,1,0.3206299739097481
siglip2-so400m-patch14-384-vision,prefill,1,256,H100,1,2,0.47328771593210295
siglip2-so400m-patch14-384-vision,prefill,1,256,H100,2,1,0.3228506770347481
siglip2-so400m-patch14-384-vision,prefill,1,256,H100,2,2,0.3228506770347481
siglip2-so400m-patch14-384-vision,prefill,1,256,H100,2,4,0.476729122182103
siglip2-so400m-patch14-384-vision,prefill,1,256,H100,4,1,0.32729208328474807
siglip2-so400m-patch14-384-vision,prefill,1,256,H100,4,2,0.32729208328474807
siglip2-so400m-patch14-384-vision,prefill,1,256,H100,4,4,0.32729208328474807
siglip2-so400m-patch14-384-vision,prefill,1,256,H100,4,8,0.48361193468210284
