network,network_bandwidth_mbps_upload,network_bandwidth_mbps_download,image_config,image_size_bytes,return_data_type,return_data_config,return_size_bytes,upload_latency_ms,download_latency_ms,round_trip_latency_ms,round_trip_transfer_ms,max_frequency_sync_hz,max_frequency_async_hz
WiFi 6 (802.11ax),560.0,800.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,4.679645,237.46352,242.14316499999998,235.14316499999998,4.129788259767729,4.252728332545835
WiFi 6 (802.11ax),560.0,800.0,512x512 uint8 (comp 0.1x),78643,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,4.679645,1412.7861440000001,1417.465789,1410.465789,0.7054843988195894,0.7089856470102587
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,3.120416,29.424115200000003,32.5445312,26.5445312,30.727128741064796,37.67254326194316
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,3.120416,127.780544,130.90096,124.90096000000001,7.639363378236493,8.006343586150178
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,224x224 uint8 (comp 0.1x),15052,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,3.120416,754.6192768000001,757.7396928000001,751.7396928000001,1.31971442106299,1.3302477035306015
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,3.629144,29.424115200000003,33.0532592,27.053259200000003,30.25420258707801,36.96412297709401
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,3.629144,127.780544,131.40968800000002,125.409688,7.609789013424945,7.973865623523439
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,512x512 uint8 (comp 0.1x),78643,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,3.629144,754.6192768000001,758.2484208000001,752.2484208000001,1.318828991354755,1.329348088144235
WiFi 7 (802.11be),2100.0,3000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,2.560208,15.712057600000001,18.2722656,13.2722656,54.72775089258772,75.34508652388632
WiFi 7 (802.11be),2100.0,3000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,2.560208,64.89027200000001,67.45048000000001,62.450480000000006,14.825691381291872,16.012687172300357
WiFi 7 (802.11be),2100.0,3000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,2.560208,378.30963840000004,380.86984640000003,375.86984640000003,2.6255688378905493,2.660495407061203
WiFi 7 (802.11be),2100.0,3000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,2.814572,15.712057600000001,18.5266296,13.526629600000001,53.97635844136486,73.92824595418801
WiFi 7 (802.11be),2100.0,3000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,2.814572,64.89027200000001,67.70484400000001,62.704844,14.7699919373568,15.947731247046878
WiFi 7 (802.11be),2100.0,3000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,2.814572,378.30963840000004,381.12421040000004,376.12421040000004,2.623816521523189,2.65869617628847
DC 1GbE,1000.0,1000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,0.22643680000000002,39.736172800000006,39.96260960000001,39.762609600000005,25.023390864844817,25.149254791365603
DC 1GbE,1000.0,1000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,0.22643680000000002,187.270816,187.49725279999998,187.2972528,5.333411477056052,5.339106607547636
DC 1GbE,1000.0,1000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,0.22643680000000002,1127.5289152,1127.7553520000001,1127.555352,0.8867171396939643,0.8868744210439435
DC 1GbE,1000.0,1000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,0.7606012000000001,39.736172800000006,40.49677400000001,40.296774000000006,24.693324954723547,24.81588228377785
DC 1GbE,1000.0,1000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,0.7606012000000001,187.270816,188.0314172,187.8314172,5.318260187000282,5.3239229885339965
DC 1GbE,1000.0,1000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,0.7606012000000001,1127.5289152,1128.2895164000001,1128.0895164,0.8862973425390589,0.8864544749881517
DC 10GbE,10000.0,10000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,0.06264368000000001,4.01361728,4.07626096,3.9762609600000003,245.32286078171012,251.49254791365604
DC 10GbE,10000.0,10000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,0.06264368000000001,18.7670816,18.82972528,18.72972528,53.107519367908694,53.39106607547636
DC 10GbE,10000.0,10000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,0.06264368000000001,112.79289152,112.85553519999999,112.7555352,8.860885717548749,8.868744210439436
DC 10GbE,10000.0,10000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,0.11606012000000002,4.01361728,4.1296774,4.029677400000001,242.14966524988125,248.1588228377785
DC 10GbE,10000.0,10000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,0.11606012000000002,18.7670816,18.88314172,18.78314172,52.957289355131735,53.239229885339974
DC 10GbE,10000.0,10000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,0.11606012000000002,112.79289152,112.90895164,112.80895164,8.856693694122763,8.864544749881517
DC 25GbE,25000.0,25000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,0.055057472,1.6354469120000001,1.6905043840000002,1.5905043840000002,591.539430163347,628.73136978414
DC 25GbE,25000.0,25000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,0.055057472,7.53683264,7.591890112,7.491890112,131.71950400327395,133.4776651886909
DC 25GbE,25000.0,25000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,0.055057472,45.147156607999996,45.20221408,45.102214079999996,22.12281014001162,22.17186052609859
DC 25GbE,25000.0,25000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,0.07642404800000001,1.6354469120000001,1.7118709600000002,1.61187096,584.1561796223239,620.3970570944463
DC 25GbE,25000.0,25000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,0.07642404800000001,7.53683264,7.613256688,7.513256688,131.34983371520863,133.09807471334992
DC 25GbE,25000.0,25000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,0.07642404800000001,45.147156607999996,45.223580655999996,45.123580656,22.112357878219576,22.161361874703793
DC 100GbE,100000.0,100000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,0.031264368,0.42636172800000005,0.45762609600000004,0.39762609600000004,2185.190068356591,2514.92547913656
DC 100GbE,100000.0,100000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,0.031264368,1.90170816,1.932972528,1.872972528,517.3379266981491,533.9106607547636
DC 100GbE,100000.0,100000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,0.031264368,11.304289151999999,11.33555352,11.275553519999999,88.21801231282087,88.68744210439436
DC 100GbE,100000.0,100000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,0.036606012,0.42636172800000005,0.46296774000000007,0.40296774,2159.977712485971,2481.588228377785
DC 100GbE,100000.0,100000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,0.036606012,1.90170816,1.9383141720000001,1.878314172,515.912236749616,532.3922988533997
DC 100GbE,100000.0,100000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,0.036606012,11.304289151999999,11.340895163999999,11.280895164,88.1764609882254,88.64544749881517
DC 400GbE,400000.0,400000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,0.020316092,0.11909043200000001,0.139406524,0.09940652400000001,7173.265434837182,10059.70191654624
DC 400GbE,400000.0,400000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,0.020316092,0.48792704000000003,0.508243132,0.468243132,1967.5622493212559,2135.6426430190545
DC 400GbE,400000.0,400000.0,224x224 uint8 (comp 0.1x),15052,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,0.020316092,2.838572288,2.85888838,2.8188883799999997,349.786304003936,354.74976841757746
DC 400GbE,400000.0,400000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0 (Gemma 2B) (seq=256, fp16)",4718592,0.021651503,0.11909043200000001,0.140741935,0.100741935,7105.202866508834,9926.35291351114
DC 400GbE,400000.0,400000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",22282240,0.021651503,0.48792704000000003,0.509578543,0.469578543,1962.4060191247102,2129.5691954135987
DC 400GbE,400000.0,400000.0,512x512 uint8 (comp 0.1x),78643,kvcache,"OpenVLA-7B (seq=256, fp16)",134217728,0.021651503,2.838572288,2.860223791,2.820223791,349.6229921401979,354.5817899952607
