network,network_bandwidth_mbps_upload,network_bandwidth_mbps_download,network_base_latency_ms,kvcache_config,model_name,num_layers,seq_length,kvcache_size_bytes,kvcache_size_mb,kvcache_size_gb,effective_size_bytes,transfer_time_ms,total_latency_ms,max_frequency_sync_hz,max_frequency_async_hz
DC 10GbE,10000.0,10000.0,0.05,"Pi0 (Gemma 2B) (seq=256, fp16)",Pi0 (Gemma 2B),18,256,4718592,4.5,0.00439453125,4954521.600000001,3.9636172800000002,4.01361728,249.15180751862817,252.29479270006613
DC 10GbE,10000.0,10000.0,0.05,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",Pi0.6 (Gemma 3 4B),34,256,22282240,21.25,0.020751953125,23396352.0,18.7170816,18.7670816,53.284789895089496,53.427132571778714
DC 25GbE,25000.0,25000.0,0.05,"OpenVLA-7B (seq=256, fp16)",OpenVLA-7B,32,256,134217728,128.0,0.125,140928614.4,45.097156608,45.147156607999996,22.14978915909849,22.174347014654252
DC 25GbE,25000.0,25000.0,0.05,"Pi0 (Gemma 2B) (seq=256, fp16)",Pi0 (Gemma 2B),18,256,4718592,4.5,0.00439453125,4954521.600000001,1.585446912,1.6354469120000001,611.4536599522467,630.7369817501653
DC 25GbE,25000.0,25000.0,0.05,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",Pi0.6 (Gemma 3 4B),34,256,22282240,21.25,0.020751953125,23396352.0,7.48683264,7.53683264,132.68173087627432,133.56783142944678
DC 100GbE,100000.0,100000.0,0.03,"OpenVLA-7B (seq=256, fp16)",OpenVLA-7B,32,256,134217728,128.0,0.125,140928614.4,11.274289152,11.304289151999999,88.46199761469089,88.69738805861701
DC 100GbE,100000.0,100000.0,0.03,"Pi0 (Gemma 2B) (seq=256, fp16)",Pi0 (Gemma 2B),18,256,4718592,4.5,0.00439453125,4954521.600000001,0.396361728,0.42636172800000005,2345.426276159571,2522.9479270006614
DC 100GbE,100000.0,100000.0,0.03,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",Pi0.6 (Gemma 3 4B),34,256,22282240,21.25,0.020751953125,23396352.0,1.87170816,1.90170816,525.8430399751768,534.2713257177871
DC 400GbE,400000.0,400000.0,0.02,"OpenVLA-7B (seq=256, fp16)",OpenVLA-7B,32,256,134217728,128.0,0.125,140928614.4,2.818572288,2.838572288,352.28977758554095,354.78955223446803
DC 400GbE,400000.0,400000.0,0.02,"Pi0 (Gemma 2B) (seq=256, fp16)",Pi0 (Gemma 2B),18,256,4718592,4.5,0.00439453125,4954521.600000001,0.099090432,0.11909043200000001,8396.980204085581,10091.791708002645
DC 400GbE,400000.0,400000.0,0.02,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",Pi0.6 (Gemma 3 4B),34,256,22282240,21.25,0.020751953125,23396352.0,0.46792704,0.48792704000000003,2049.486742935993,2137.0853028711485
